Issuer,RIC,Exchange,TRBC Sector,GICS Sector,Market Cap (USD),Price to Book Ratio,% Price Change Year To Date,% Price Change Relative to Index YTD,% Price Change Relative to Sector YTD,% Price Change 1Y
Capital One Financial Corp,COF,NYSE Consolidated,Consumer Credit Cards Services,"Financials, Financial Services, Consumer Finance",111817081105,1.033344,-25.816966,-23.43103,-4.822532,8.228991
Freeport-McMoRan Inc,FCX,NYSE Consolidated,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Copper",81029426546,4.287498,11.006104,14.576374,10.565106,50.02661
Eaton Corporation PLC,ETN,NYSE Consolidated,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",137859660000,7.097022,11.582054,15.170849,5.64987,25.273176
SoFi Technologies Inc,SOFI.O,NASDAQ Global Select Consolidated,Consumer Lending (NEC),"Financials, Financial Services, Consumer Finance",22648685976,2.159178,-32.161956,-28.673802,--,55.926251
Blackstone Inc,BX,NYSE Consolidated,Investment Management,"Financials, Financial Services, Capital Markets, Asset Management & Custody Banks",126829765492,14.63613,-30.725315,-28.497245,-16.10681,-21.790083
Hengtong Optic-Electric Co Ltd,600487.SS,Shanghai Stock Exchange,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",17840902875,4.29464,100.889608,94.679223,86.882823,207.616099
Delta Air Lines Inc,DAL,NYSE Consolidated,Airlines (NEC),"Industrials, Transportation, Passenger Airlines",38391023016,1.841031,-15.302594,-12.578485,0.79684,33.834244
Accelink Technologies Co Ltd,002281.SZ,Shenzhen Stock Exchange,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",10445011775,7.875734,27.147963,19.125428,--,79.713073
MercadoLibre Inc,MELI.O,NASDAQ Global Select Consolidated,E-commerce & Auction Services,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Broadline Retail",84664293940,12.546576,-17.09114,-12.828062,-10.519121,-16.067749
JX Advanced Metals Corp,5016.T,Tokyo Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Diversified Metals & Mining",23600549570,6.111318,106.632653,94.102698,25.31747,--
AT&T Inc,T,NYSE Consolidated,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",194056000011,1.755639,11.594203,15.183388,-3.734359,6.247604
SoftBank Group Corp,9984.T,Tokyo Stock Exchange,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",128268327203,1.76767,-18.681818,-23.612855,-9.111003,84.528107
Abbott Laboratories,ABT,NYSE Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",187721882282,3.601034,-13.77604,-11.002833,-1.545003,-16.829625
American Express Co,AXP,NYSE Consolidated,Consumer Credit Cards Services,"Financials, Financial Services, Consumer Finance",205956736939,6.152738,-18.918773,-16.310971,4.02791,16.975393
Valero Energy Corp,VLO,NYSE Consolidated,Oil & Gas Refining and Marketing (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Refining & Marketing",68952457453,2.906321,41.64875,46.204575,2.551044,83.298887
Philip Morris International Inc,PM,NYSE Consolidated,Tobacco (NEC),"Consumer Staples, Food, Beverage & Tobacco, Tobacco",271889655268,--,8.890274,12.392494,-2.220411,16.060868
Morgan Stanley,MS,NYSE Consolidated,Investment Banking & Brokerage Services (NEC),"Financials, Financial Services, Capital Markets, Investment Banking & Brokerage",245911910103,2.413693,-12.76404,-9.958285,-0.019178,38.672994
Pfizer Inc,PFE,NYSE Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",151196505908,1.748422,6.746988,10.180273,3.818307,3.828125
Thermo Fisher Scientific Inc,TMO,NYSE Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Life Sciences Tools & Services",172506138386,3.229968,-19.860212,-17.28269,-26.86073,-8.750246
Amphenol Corp,APH,NYSE Consolidated,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",164616463425,12.272813,-0.902768,2.28448,-9.55929,117.332035
Dell Technologies Inc,DELL.K,NYSE Consolidated,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",100476997910,--,20.448046,24.321996,50.741781,64.002163
Spotify Technology SA,SPOT.K,NYSE Consolidated,Online Services (NEC),"Communication Services, Media & Entertainment, Entertainment, Movies & Entertainment",106247640380,11.174098,-11.132923,-8.274707,0.024974,-4.062018
Seagate Technology Holdings PLC,STX.O,NASDAQ Global Select Consolidated,Computer Hardware (NEC),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",85960777024,--,39.333309,46.497667,46.258406,348.154637
BYD Co Ltd,002594.SZ,Shenzhen Stock Exchange,Electric (Alternative) Vehicles,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",124380984224,6.88706,1.995497,-4.440016,--,-15.6531
Lockheed Martin Corp,LMT,NYSE Consolidated,Commercial Aircraft Manufacturing,"Industrials, Capital Goods, Aerospace & Defense",148631835040,22.114542,33.562139,37.857876,24.913347,38.054837
Newmont Corporation,NEM,NYSE Consolidated,Gold Mining,"Materials, Metals & Mining, Gold",119209256150,3.519924,9.744617,13.274314,-0.000868,140.043812
United Airlines Holdings Inc,UAL.O,NASDAQ Global Select Consolidated,Airlines (NEC),"Industrials, Transportation, Passenger Airlines",28009074285,1.832815,-22.554105,-18.571926,-7.833051,23.891273
Diamondback Energy Inc,FANG.O,NASDAQ Global Select Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",51301393154,1.387574,21.313111,27.550891,-4.875655,25.082305
Wus Printed Circuit Kunshan Co Ltd,002463.SZ,Shenzhen Stock Exchange,Integrated Circuits,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",22743063945,13.193375,11.098946,4.089041,--,133.948127
Foxconn Industrial Internet Co Ltd,601138.SS,Shanghai Stock Exchange,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Manufacturing Services",151750163278,6.249961,-15.40693,-18.022075,-21.305079,153.942912
Teradyne Inc,TER.O,NASDAQ Global Select Consolidated,Semiconductor Testing Equipment & Service,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",44840755199,16.038889,47.974788,55.583481,17.006249,235.661549
Disco Corp,6146.T,Tokyo Stock Exchange,Semiconductor Machinery Manufacturing,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",47393181439,15.336811,44.509031,35.746177,19.133615,102.178333
Fiberhome Telecommunication Technologies Co Ltd,600498.SS,Shanghai Stock Exchange,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",10352989468,5.097459,63.216958,58.171201,54.346501,117.985012
Starbucks Corp,SBUX.O,NASDAQ Global Select Consolidated,Restaurants & Bars (NEC),"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants",112961595000,--,17.741361,23.795486,16.462723,3.238234
LyondellBasell Industries NV,LYB,NYSE Consolidated,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",23292889409,2.310344,66.974596,72.344971,45.736179,-0.426938
Walt Disney Co,DIS,NYSE Consolidated,Broadcasting (NEC),"Communication Services, Media & Entertainment, Entertainment, Movies & Entertainment",175894206005,1.600945,-12.727433,-9.9205,-6.135746,2.498193
CNOOC Ltd,600938.SS,Shanghai Stock Exchange,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",187648391127,2.670408,39.16501,34.862805,29.461898,63.806552
Nike Inc,NKE,NYSE Consolidated,Sports & Outdoor Footwear,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Footwear",79911096039,6.047915,-15.272328,-12.547246,-2.390978,-25.688326
Merck & Co Inc,MRK,NYSE Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",285833239466,5.433472,9.832795,13.365329,6.819452,22.067364
GigaDevice Semiconductor Inc,603986.SS,Shanghai Stock Exchange,Memory Chips (RAM),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",28608063408,11.827608,29.908985,25.892924,--,123.953975
Honeywell International Inc,HON.O,NASDAQ Global Select Consolidated,Consumer Goods Conglomerates,"Industrials, Capital Goods, Industrial Conglomerates",149065951884,10.721084,20.200933,26.381526,9.61967,20.419388
PetroChina Co Ltd,601857.SS,Shanghai Stock Exchange,Integrated Oil & Gas,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas",312822500898,1.455585,15.754083,12.175613,7.683269,54.092072
Slb NV,SLB,NYSE Consolidated,Oil Related Services and Equipment (NEC),"Energy, Energy Equipment & Services, Oil & Gas Equipment & Services",67130681086,2.57117,16.51902,20.266602,-1.225829,11.995993
Ciena Corp,CIEN.K,NYSE Consolidated,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",47705001301,17.478694,44.259631,48.899429,35.195316,441.45402
Shenzhen Longsys Electronics Co Ltd,301308.SZ,Shenzhen Stock Exchange,Memory Chips (RAM),"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals",19903130302,21.138436,33.217612,24.812106,--,219.086284
Shopify Inc,SHOP.O,NASDAQ Global Select Consolidated,E-commerce & Auction Services,"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",160353534424,11.901843,-23.613096,-19.685369,--,35.732421
Stryker Corp,SYK,NYSE Consolidated,Medical Devices & Implants,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",128878065079,5.748353,-4.182434,-1.10067,9.409475,-7.394269
Luxshare Precision Industry Co Ltd,002475.SZ,Shenzhen Stock Exchange,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components",52325353163,5.184381,-13.013578,-18.502078,--,22.194699
Guangzhou Tinci Materials Technology Co Ltd,002709.SZ,Shenzhen Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",14440870109,5.556511,5.266566,-1.375339,--,144.338677
Vertex Pharmaceuticals Inc,VRTX.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",119228406734,6.387533,3.524793,8.847918,-0.760956,-6.677006
AST SpaceMobile Inc,ASTS.O,NASDAQ Global Select Consolidated,Satellite Service Operators,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Alternative Carriers",32983194785,17.911291,18.876497,24.988989,--,230.551302
T-Mobile US Inc,TMUS.O,NASDAQ Global Select Consolidated,Wireless Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Wireless Telecommunication Services",239533940831,4.045976,7.067573,12.572864,--,-16.098032
Boston Scientific Corp,BSX,NYSE Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",102581001573,4.233112,-27.498689,-25.166842,-17.214237,-27.513893
S&P Global Inc,SPGI.K,NYSE Consolidated,Professional Information Services (NEC),"Financials, Financial Services, Capital Markets, Financial Exchanges & Data",126240012000,4.055643,-19.154595,-16.554378,3.372529,-11.953736
Shenzhen Techwinsemi Technology Co Ltd,001309.SZ,Shenzhen Stock Exchange,Memory Chips (RAM),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",10569662222,22.20642,38.018026,29.309633,--,220.553599
PepsiCo Inc,PEP.O,NASDAQ Global Select Consolidated,Carbonated Soft Drinks,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks & Non-alcoholic Beverages",218499850593,10.707628,11.399108,17.127121,2.156299,7.779426
McDonald's Corp,MCD,NYSE Consolidated,Quick Service Restaurants,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants",231916740667,--,6.81543,10.250917,5.655445,9.734454
Constellation Energy Corp,CEG.O,NASDAQ Global Select Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",109237823392,7.524821,-14.578085,-10.185789,-22.051421,43.789012
Intuitive Surgical Inc,ISRG.O,NASDAQ Global Select Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",167678292701,9.407445,-16.632531,-12.345872,-4.806693,-0.969
Carnival Corp,CCL,NYSE Consolidated,Cruise Lines,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Hotels, Resorts & Cruise Lines",29723615085,2.419702,-21.447282,-18.920805,-21.010515,25.470711
ASML Holding NV,ASML.AS,Euronext Amsterdam,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",522691830119,18.931528,28.022574,21.584764,11.119291,83.62391
Devon Energy Corp,DVN,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",28675000000,1.846664,26.262626,30.32359,-0.994628,36.874815
Tokyo Electron Ltd,8035.T,Tokyo Stock Exchange,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",113490233999,9.746826,11.713287,4.939128,7.186267,79.831144
Cheniere Energy Inc,LNG,NYSE Consolidated,LNG Transportation & Storage,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Storage & Transportation",53027881294,6.699669,29.775194,33.949132,1.178165,19.248405
Sanan Optoelectronics Co Ltd,600703.SS,Shanghai Stock Exchange,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",13175442895,2.454687,28.379335,24.410563,19.428241,42.051684
Royal Caribbean Cruises Ltd,RCL,NYSE Consolidated,Cruise Lines,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Hotels, Resorts & Cruise Lines",73729783699,7.345799,-2.287394,0.85532,-1.744094,31.091871
Medtronic PLC,MDT,NYSE Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",111877735762,2.329621,-9.285863,-6.36824,3.582114,-5.621142
Comcast Corp,CMCSA.O,NASDAQ Global Select Consolidated,Satellite Service Operators,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",108511035179,1.119802,7.707058,13.24523,-7.087566,-7.22294
Nu Holdings Ltd,NU,NYSE Consolidated,Banks (NEC),"Financials, Banks, Diversified Banks",67305046598,8.802315,-17.02509,-14.356382,-4.818553,29.209302
CME Group Inc,CME.O,NASDAQ Global Select Consolidated,Securities & Commodity Exchanges,"Financials, Financial Services, Capital Markets, Financial Exchanges & Data",111674993873,3.887295,14.032518,19.895938,--,19.84298
Mitsubishi Heavy Industries Ltd,7011.T,Tokyo Stock Exchange,Consumer Goods Conglomerates,"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",100470462928,6.821471,23.567708,16.074712,1.869536,91.099476
Mitsubishi UFJ Financial Group Inc,8306.T,Tokyo Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",197832424549,1.536065,6.538307,0.077953,-1.530726,35.717936
CMOC Group Ltd,603993.SS,Shanghai Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Diversified Metals & Mining",59694087907,5.95232,-1.2,-4.254344,-8.08871,149.810367
Range Intelligent Computing Technology Group Co Ltd,300442.SZ,Shenzhen Stock Exchange,Integrated Telecommunications Services (NEC),"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",19876990797,13.700258,58.219697,48.236659,--,29.720497
Carvana Co,CVNA.K,NYSE Consolidated,Used Car Dealers,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Automotive Retail",65686527250,19.089371,-28.877778,-26.590286,-23.505926,80.086398
Duke Energy Corp,DUK,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",103546875807,2.035559,13.599522,17.253204,3.661002,12.638525
Parker-Hannifin Corp,PH,NYSE Consolidated,Industrial Machinery & Equipment (NEC),"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",112315040495,8.208964,1.240102,4.49627,0.37221,50.40311
Nextera Energy Inc,NEE,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",193309167819,3.539942,15.570503,19.287578,5.459548,27.567716
EOG Resources Inc,EOG,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",71675263464,2.40255,27.225978,31.317926,-0.239242,10.331159
Elevance Health Inc,ELV,NYSE Consolidated,Managed Healthcare (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Managed Health Care",64364102037,1.466754,-16.807873,-14.132179,-0.379258,-30.106651
Amgen Inc,AMGN.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",197411973261,22.801106,11.884758,17.637742,7.252921,17.134724
Gilead Sciences Inc,GILD.O,NASDAQ Global Select Consolidated,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",179993562354,7.928533,18.12775,24.201742,13.237464,27.913542
Charles Schwab Corp,SCHW.K,NYSE Consolidated,Investment Banking & Brokerage Services (NEC),"Financials, Financial Services, Capital Markets, Investment Banking & Brokerage",163060702150,3.822153,-6.856171,-3.860401,6.75181,26.595021
Phillips 66,PSX,NYSE Consolidated,Oil & Gas Refining and Marketing (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Refining & Marketing",69224522360,2.379422,33.865468,38.17096,-3.083907,41.012245
3M Co,MMM,NYSE Consolidated,Consumer Goods Conglomerates,"Industrials, Capital Goods, Industrial Conglomerates",79510632000,16.90996,-5.708932,-2.676264,-14.009355,3.326489
Cloudflare Inc,NET,NYSE Consolidated,Cloud Computing Services,"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",74778214310,51.248739,7.760588,11.226474,37.787479,86.851363
Deere & Co,DE,NYSE Consolidated,Agricultural Machinery,"Industrials, Capital Goods, Machinery, Agricultural & Farm Machinery",155986955355,6.011058,24.041498,28.031023,12.23204,23.637843
Dow Inc,DOW,NYSE Consolidated,Plastics,"Materials, Chemicals, Commodity Chemicals",26352461439,1.646206,56.629598,61.667249,36.707018,1.076456
EVE Energy Co Ltd,300014.SZ,Shenzhen Stock Exchange,Batteries & Uninterruptable Power Supplies,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",20599574430,3.765136,3.740876,-2.804764,--,38.658537
Aluminum Corporation of China Ltd,601600.SS,Shanghai Stock Exchange,Aluminum (NEC),"Materials, Metals & Mining, Aluminum",33938755689,3.490929,15.220949,11.658961,7.187308,80.512821
Jiangsu Zhongtian Technology Co Ltd,600522.SS,Shanghai Stock Exchange,Communications & Networking (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",14781879507,2.90149,64.183223,59.107594,52.735747,107.172702
Quanta Services Inc,PWR,NYSE Consolidated,Construction & Engineering (NEC),"Industrials, Capital Goods, Construction & Engineering",83640252640,9.357566,32.450363,36.710341,-0.031814,123.348915
KKR & Co Inc,KKR,NYSE Consolidated,Investment Management,"Financials, Financial Services, Capital Markets, Asset Management & Custody Banks",76610968321,2.701454,-32.593348,-30.425359,-18.36904,-20.940289
Baker Hughes Co,BKR.O,NASDAQ Global Select Consolidated,Oil Related Services and Equipment (NEC),"Energy, Energy Equipment & Services, Oil & Gas Equipment & Services",53621713032,2.84707,19.148002,25.274454,1.002781,29.995208
Synopsys Inc,SNPS.O,NASDAQ Global Select Consolidated,Software (NEC),"Information Technology, Software & Services, Software, Application Software",79044239201,2.790361,-12.154049,-7.637112,13.666676,-3.721592
Snowflake Inc,SNOW.K,NYSE Consolidated,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure",61137452000,20.379633,-18.553975,-15.934441,1.930411,19.241807
Automatic Data Processing Inc,ADP.O,NASDAQ Global Select Consolidated,IT Services & Consulting (NEC),"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services",83959402781,13.5681,-18.93636,-14.768162,--,-28.232662
Arista Networks Inc,ANET.K,NYSE Consolidated,Communications & Networking (NEC),"Information Technology, Technology Hardware & Equipment, Communications Equipment",167835768104,--,1.938487,5.217118,-4.466649,66.670826
